Review ID,Effect Size ID,Within Effect ID,Study Author,Study Year,Study First Page #,Study N,Estimate,Metric,Lower CI,Upper CI,Standard Error,Standard Deviation,Variance,p-value,N Intervention,N Control,Number of Events in Exposure(for OR/RR),Number of Events in Comparison (for OR/RR),Reverse Code
47484,47484_001,47484_001_003,Chen,2017,e12,36,-0.243,Standard Mean Difference,-0.872,0.387,0.321,-999,0.103,0.45,21,15,-999,-999,TRUE
47484,47484_001,47484_001_004,Lubans,2016,92,361,0,Standard Mean Difference,-0.229,0.229,0.117,-999,0.014,1,181,180,-999,-999,TRUE
47484,47484_001,47484_001_005,Mameli,2018,81,30,-0.044,Standard Mean Difference,-0.737,0.649,0.354,-999,0.125,0.902,16,14,-999,-999,TRUE
47484,47484_001,47484_001_006,Nguyen,2013,468,151,-0.028,Standard Mean Difference,-0.372,0.316,0.175,-999,0.031,0.874,73,78,-999,-999,TRUE
47484,47484_001,47484_001_007,Park,2015,99,30,-0.017,Standard Mean Difference,-0.732,0.699,0.365,-999,0.133,0.964,15,15,-999,-999,TRUE
47484,47484_001,47484_001_008,Smith,2014,e723,361,0,Standard Mean Difference,-0.206,0.206,0.105,-999,0.011,1,181,180,-999,-999,TRUE
47484,47484_001,47484_001_009,Vidmar,2018,e12464,35,-0.658,Standard Mean Difference,-1.339,0.023,0.347,-999,0.121,0.058,18,17,-999,-999,TRUE
47484,47484_002,47484_002_001,Mameli,2018,81,30,-0.013,Standard Mean Difference,-0.706,0.679,0.354,-999,0.125,0.97,16,14,-999,-999,TRUE
47484,47484_002,47484_002_002,Nguyen,2013,468,151,-0.026,Standard Mean Difference,-0.369,0.318,0.175,-999,0.031,0.884,73,78,-999,-999,TRUE
47484,47484_002,47484_002_003,Vidmar,2018,e12464,35,-0.135,Standard Mean Difference,-0.799,0.529,0.339,-999,0.115,0.69,18,17,-999,-999,TRUE
47484,47484_003,47484_003_001,Chen,2017,e12,36,1.231,Standard Mean Difference,0.549,1.914,0.348,-999,0.121,0,21,15,-999,-999,FALSE
47484,47484_003,47484_003_002,Direito,2015,e210,34,0.169,Standard Mean Difference,-0.495,0.833,0.339,-999,0.115,0.617,-999,-999,-999,-999,FALSE
47484,47484_003,47484_003_003,Direito,2015,e210,34,0.32,Standard Mean Difference,-0.358,0.997,0.346,-999,0.12,0.355,-999,-999,-999,-999,FALSE
47484,47484_003,47484_003_004,Lubans,2016,92,361,0.006,Standard Mean Difference,-0.209,0.221,0.11,-999,0.012,0.956,181,180,-999,-999,FALSE
47484,47484_003,47484_003_005,Smith,2014,e723,361,0.045,Standard Mean Difference,-0.161,0.252,0.105,-999,0.011,0.666,181,180,-999,-999,FALSE
47484,47484_003,47484_003_006,Thompson,2016,472,80,1.011,Standard Mean Difference,0.251,1.771,0.388,-999,0.15,0.009,40,40,-999,-999,FALSE
47484,47484_004,47484_004_001,Babic,2014,50,322,-0.036,Standard Mean Difference,-0.254,0.183,0.112,-999,0.012,0.748,155,167,-999,-999,TRUE
47484,47484_004,47484_004_002,Chen,2017,e12,36,-0.969,Standard Mean Difference,-1.631,-0.308,0.338,-999,0.114,0.004,21,15,-999,-999,TRUE
47484,47484_004,47484_004_003,Direito,2015,e210,34,-0.098,Standard Mean Difference,-0.761,0.566,0.338,-999,0.115,0.773,-999,-999,-999,-999,TRUE
47484,47484_004,47484_004_004,Direito,2015,e210,34,-0.019,Standard Mean Difference,-0.692,0.655,0.344,-999,0.118,0.957,-999,-999,-999,-999,TRUE
